ai khảo mà xưng
ì à ì ạch
í a í ới
ích kỉ hại nhân
ích kỷ hại nhân
ích nước lợi dân
ích quốc lợi dân
óng a óng ánh
ô tô du lịch
ô xít ni tơ
ôm cây đợi thỏ
ôm rơm rặm bụng
ôn cố tri tân
ông bà ông vải
ông chẳng bà chuộc
ông già bà cả
ông tơ bà nguyệt
õng a õng ẹo
õng à õng ẹo
ù à ù ờ
ù ù cạc cạc
ú a ú ớ
ý hợp tâm đầu
ý tại ngôn ngoại
ăn bơ làm biếng
ăn chay nằm đất
ăn cháo đá bát
ăn cháo đái bát
ăn chắc mặc bền
ăn chực nằm chờ
ăn càn nói rỡ
ăn cắp ăn nảy
ăn dưng ngồi rồi
ăn dầm nằm dề
ăn gió nằm mưa
ăn gió nằm sương
ăn gởi nằm nhờ
ăn gửi nằm nhờ
ăn hiếp ăn đáp
ăn hương ăn hoa
ăn hại đái nát
ăn không ngồi rồi
ăn không ngồi rỗi
ăn không nói có
ăn không ăn hỏng
ăn lông ở lỗ
ăn miếng trả miếng
ăn mòn kim loại
ăn mặn khát nước
ăn ngon mặc đẹp
ăn như mỏ khoét
ăn nhờ ở đậu
ăn no vác nặng
ăn nên làm ra
ăn sung mặc sướng
ăn sẵn nằm ngửa
ăn sống nuốt tươi
ăn thật làm giả
ăn to nói lớn
ăn trên ngồi trốc
ăn trắng mặc trơn
ăn tuyết nằm sương
ăn tàn phá hại
ăn tươi nuốt sống
ăn tục nói phét
ăn vóc học hay
ăn xó mó niêu
ăn xổi ở thì
ăn đậu nằm nhờ
ăn đời ở kiếp
ăn đợi nằm chờ
ăn ốc nói mò
đa dạng sinh học
đa mưu túc kế
đa mưu túc trí
đa ngôn đa quá
đa sầu đa cảm
đa số tuyệt đối
đa số tương đối
đa số áp đảo
đa tư đa lự
đa đa ích thiện
đanh đá cá cày
đao to búa lớn
đem con bỏ chợ
đen thủi đen thui
đi guốc trong bụng
đi ngang về tắt
đi nắng về mưa
đi tắt đón đầu
đi tới đi lui
đi đi về về
đi đêm về hôm
đi đời nhà ma
điếc không sợ súng
điều binh khiển tướng
điều chỉnh dòng chảy
điều hoà không khí
điều hoà nhiệt độ
điều hơn lẽ thiệt
điều khiển từ xa
điều nặng tiếng nhẹ
điều nọ tiếng kia
điều ong tiếng ve
điều qua tiếng lại
điều ra tiếng vào
điều tiết dòng chảy
điều tiết không khí
điều tra cơ bản
điều ăn tiếng nói
điểm phấn tô son
điện sinh lí học
điện sinh lý học
điện thoại di động
điện thoại truyền hình
điện thế sinh vật
điệp điệp trùng trùng
điệu hổ li sơn
điệu hổ ly sơn
đo bò làm chuồng
đom đóm tranh đèn
đong đầy bán vơi
đoàn kết một chiều
đoán già đoán non
đoản thiên tiểu thuyết
đàn gảy tai trâu
đàn tam thập lục
đàn ông đàn ang
đành hanh đành hói
đào tơ liễu yếu
đào tơ sen ngó
đá gà đá vịt
đá nát vàng phai
đá thúng đụng nia
đái tội lập công
đánh bùn sang ao
đánh bắc dẹp đông
đánh giáp lá cà
đánh lận con đen
đánh ngay thắng ngay
đánh trống bỏ dùi
đánh trống ghi tên
đánh điểm diệt viện
đánh đu với tinh
đánh đâu thắng đó
đánh đông dẹp bắc
đánh đùng một cái
đáy biển mò kim
đáy bể mò kim
đâm ba chày củ
đâm ba chẻ củ
đâm thuê chém mướn
đã trót phải trét
đãi cát lấy vàng
đãi cát tìm vàng
đè chừng bắt bóng
đè đầu cưỡi cổ
đèo heo hút gió
đình chỉ công tác
đò nát đụng nhau
đòn xóc hai đầu
đóng cửa bảo nhau
đông liễu tây đào
đông tây kim cổ
đù đà đù đờ
đú đa đú đởn
đơm đó ngọn tre
đơn thương độc mã
đơn vị học trình
đơn vị tiền tệ
đơn vị điều khiển
đơn vị đo lường
đười ươi giữ ống
đường dây tải điện
đường lối quần chúng
đường đi nước bước
đường đường chính chính
được chăng hay chớ
được một cái là
được voi đòi tiên
đại biện lâm thời
đại biện thường trú
đại gian đại ác
đại lí kinh tiêu
đại lí lãnh sự
đại lý kinh tiêu
đại lý lãnh sự
đại lượng biến thiên
đại lượng không đổi
đại từ đại bi
đại đồng tiểu dị
đạo quân thứ năm
đạt lí thấu tình
đảo đi đảo lại
đất bằng nổi sóng
đất khách quê người
đất lành chim đậu
đất lề quê thói
đất thấp trời cao
đấu tranh chính trị
đấu tranh giai cấp
đấu tranh sinh tồn
đấu tranh tư tưởng
đấu tranh vũ trang
đầu bò đầu bướu
đầu bù tóc rối
đầu bạc răng long
đầu chày đít thớt
đầu cua tai nheo
đầu cơ trục lợi
đầu dây mối dợ
đầu dây mối nhợ
đầu gối quá tai
đầu gối tay ấp
đầu hai thứ tóc
đầu mày cuối mắt
đầu môi chót lưỡi
đầu sóng ngọn gió
đầu sông ngọn nguồn
đầu thừa đuôi thẹo
đầu trâu mặt ngựa
đầu trộm đuôi cướp
đầu tư chiều sâu
đầu tắt mặt tối
đầu voi đuôi chuột
đầu xanh tuổi trẻ
đầu xuôi đuôi lọt
đầu đuôi xuôi ngược
đầu đường xó chợ
đắm nguyệt say hoa
đắm đò giặt mẹt
đắp tai cài trốc
đắt cắt ra miếng
đắt như tôm tươi
đắt xắt ra miếng
đằng vân giá vũ
đặc khu kinh tế
đặc quyền lãnh sự
đặc quyền ngoại giao
đặc quyền đặc lợi
đẽo cày giữa đường
đế quốc chủ nghĩa
đến nơi đến chốn
đến đầu đến đũa
đền ơn đáp nghĩa
địa linh nhân kiệt
địa lí kinh tế
địa lí nhân văn
địa lí sử quan
địa lí tự nhiên
địa lý kinh tế
địa lý nhân văn
địa lý sử quan
địa lý tự nhiên
địa phương chủ nghĩa
định luật bảo toàn
định lí phản nhau
định mức kĩ thuật
định mức kỹ thuật
định mức sản xuất
định vị toàn cầu
đỏ da thắm thịt
đỏ mặt tía tai
đỏng đa đỏng đảnh
đỏng đà đỏng đảnh
đối nhân xử thế
đốt cháy giai đoạn
đồi phong bại tục
đồng bệnh tương liên
đồng bệnh tương lân
đồng cam cộng khổ
đồng chua nước mặn
đồng hồ báo thức
đồng hồ bấm giây
đồng hồ mặt trời
đồng hồ nguyên tử
đồng hồ quả lắc
đồng hội đồng thuyền
đồng không mông quạnh
đồng nhân dân tệ
đồng quà tấm bánh
đồng sinh đồng tử
đồng sàng dị mộng
đồng tiền bát gạo
đồng trắng nước trong
đồng tâm hiệp lực
đồng tâm nhất trí
đồng tính luyến ái
đồng tịch đồng sàng
đồng vị phóng xạ
đổ vấy đổ vá
đổ đom đóm mắt
đổi trắng thay đen
độ ẩm không khí
độc hại nghề nghiệp
độc mồm độc miệng
độc nhất vô nhị
độc thoại nội tâm
đội nón ra đi
đội quân thứ năm
đội trời đạp đất
đội đá vá trời
động cơ phản lực
động cơ vĩnh cửu
động cơ đốt ngoài
động cơ đốt trong
động phòng hoa chúc
động vật có vú
động vật nguyên sinh
động địa kinh thiên
đời thuở nhà ai
đời đời kiếp kiếp
đục nước béo cò
đủ lông đủ cánh
đủng đa đủng đỉnh
đủng đà đủng đỉnh
đức cao vọng trọng
đức rộng tài cao
đứng mũi chịu sào
đứng như trời trồng
đứt ruột đứt gan
đứt từng khúc ruột
ơn cả nghĩa dày
ưu thắng liệt bại
ưu thời mẫn thế
ưỡn a ưỡn ẹo
ưỡn à ưỡn ẹo
ấm a ấm ớ
ấm a ấm ứ
ấm a ấm ức
ấm cật no lòng
ấm ớ hội tề
ấp a ấp úng
ấp cây đợi thỏ
ấp mận ôm đào
ậm à ậm ạch
ẽo à ẽo ẹt
ẽo à ẽo ợt
ếch ngồi đáy giếng
ọp à ọp ẹp
ỏn a ỏn ẻn
ỏn à ỏn ẻn
ổ đĩa cứng ngoài
ở bể vào ngòi
ụt à ụt ịt
ủ dột nét hoa
